Skill,Course,Platform
Python,Python for Everybody,Coursera
SQL,SQL Basics,HackerRank
Machine Learning,Machine Learning Specialization,Coursera
Deep Learning,Deep Learning Specialization,Coursera
Data Analysis,Data Analysis with Python,freeCodeCamp
Power BI,Power BI for Beginners,Udemy
TensorFlow,TensorFlow Developer Certificate,Coursera
